Station_Name,Coordinate Set,Longitude,Latitude
Alterlaa,Coordinates 1,16.3169125,48.1505008
Alterlaa,Coordinates 2,16.3167721,48.1505087
Alterlaa,Coordinates Average,16.3168423,48.15050475
,,,
Am Schoepfwerk,Coordinates 1,16.3241801,48.1606867
Am Schoepfwerk,Coordinates 2,16.324226,48.1606711
Am Schoepfwerk,Coordinates Average,16.32420305,48.1606789
,,,
Bahnhof Meidling,Coordinates 1,16.3313111,48.1735402
Bahnhof Meidling,Coordinates 2,16.3315171,48.1735244
Bahnhof Meidling,Coordinates Average,16.3314141,48.1735323
,,,
Braunschweiggasse,Coordinates 1,16.2958047,48.1894183
Braunschweiggasse,Coordinates 2,16.2957907,48.1893941
Braunschweiggasse,Coordinates Average,16.2957977,48.1894062
,,,
Burggasse-Stadthalle ,Coordinates 1,16.3371972,48.2029717
Burggasse-Stadthalle ,Coordinates 2,16.3372644,48.2029736
Burggasse-Stadthalle ,Coordinates Average,16.3372308,48.20297265
,,,
Enkplatz,Coordinates 1,16.4145768,48.1746434
Enkplatz,Coordinates 2,16.4149172,48.1748181
Enkplatz,Coordinates Average,16.414747,48.17473075
,,,
Erdberg,Coordinates 1,16.4141822,48.1914748
Erdberg,Coordinates 2,16.4140784,48.1914073
Erdberg,Coordinates Average,16.4141303,48.19144105
,,,
Erlaaer strasse,Coordinates 1,16.3165474,48.141986
Erlaaer strasse,Coordinates 2,16.3165003,48.1419872
Erlaaer strasse,Coordinates Average,16.31652385,48.1419866
,,,
Gasometer,Coordinates 1,16.4174875,48.185137
Gasometer,Coordinates 2,16.4174396,48.1851532
Gasometer,Coordinates Average,16.41746355,48.1851451
,,,
Gumpendorfer strasse,Coordinates 1,16.3375677,48.1907334
Gumpendorfer strasse,Coordinates 2,16.337519,48.1907331
Gumpendorfer strasse,Coordinates Average,16.33754335,48.19073325
,,,
Huetteldorf,Coordinates 1,16.2609014,48.1970194
Huetteldorf,Coordinates 2,16.2608239,48.1969079
Huetteldorf,Coordinates Average,16.26086265,48.19696365
,,,
Huetteldorfer strasse,Coordinates 1,16.3115423,48.1998449
Huetteldorfer strasse,Coordinates 2,16.3113476,48.1997418
Huetteldorfer strasse,Coordinates Average,16.31144495,48.19979335
,,,
Herrengasse,Coordinates 1,16.3650709,48.2094072
Herrengasse,Coordinates 2,16.3651325,48.2092337
Herrengasse,Coordinates Average,16.3651017,48.20932045
,,,
Hietzing,Coordinates 1,16.3045615,48.1875906
Hietzing,Coordinates 2,16.3045566,48.1875681
Hietzing,Coordinates Average,16.30455905,48.18757935
,,,
Johnstrasse,Coordinates 1,16.3201499,48.1976939
Johnstrasse,Coordinates 2,16.3201298,48.1975634
Johnstrasse,Coordinates Average,16.32013985,48.19762865
,,,
Kardinal-Nagl-Platz,Coordinates 1,16.3998439,48.1975375
Kardinal-Nagl-Platz,Coordinates 2,16.3998962,48.197622
Kardinal-Nagl-Platz,Coordinates Average,16.39987005,48.19757975
,,,
Kendlerstrasse,Coordinates 1,16.3092214,48.2045479
Kendlerstrasse,Coordinates 2,16.3090334,48.2045859
Kendlerstrasse,Coordinates Average,16.3091274,48.2045669
,,,
Margaretenguertel,Coordinates 1,16.3430097,48.1884995
Margaretenguertel,Coordinates 2,16.343013,48.1884747
Margaretenguertel,Coordinates Average,16.34301135,48.1884871
,,,
Meidling Haupstrasse,Coordinates 1,16.3281306,48.1836994
Meidling Haupstrasse,Coordinates 2,16.3280928,48.1835675
Meidling Haupstrasse,Coordinates Average,16.3281117,48.18363345
,,,
Museumsquartier,Coordinates 1,16.361289,48.2025962
Museumsquartier,Coordinates 2,16.3612402,48.2027064
Museumsquartier,Coordinates Average,16.3612646,48.2026513
,,,
Neubaugasse,Coordinates 1,16.3525321,48.1992115
Neubaugasse,Coordinates 2,16.3525325,48.1992114
Neubaugasse,Coordinates Average,16.3525323,48.19921145
,,,
Niederhofstrasse,Coordinates 1,16.3310422,48.1807565
Niederhofstrasse,Coordinates 2,16.3312398,48.1807555
Niederhofstrasse,Coordinates Average,16.331141,48.180756
,,,
Ober St. Veit,Coordinates 1,16.2761632,48.1922486
Ober St. Veit,Coordinates 2,16.2761571,48.1922233
Ober St. Veit,Coordinates Average,16.27616015,48.19223595
,,,
Ottakring,Coordinates 1,16.3113812,48.2110293
Ottakring,Coordinates 2,16.3113349,48.2110339
Ottakring,Coordinates Average,16.31135805,48.2110316
,,,
Perfektastrasse,Coordinates 1,16.3132697,48.136611
Perfektastrasse,Coordinates 2,16.3132257,48.1366247
Perfektastrasse,Coordinates Average,16.3132477,48.13661785
,,,
Pilgramgasse,Coordinates 1,16.3542786,48.1921565
Pilgramgasse,Coordinates 2,16.3543224,48.1921519
Pilgramgasse,Coordinates Average,16.3543005,48.1921542
,,,
Rathaus,Coordinates 1,16.3555036,48.2107462
Rathaus,Coordinates 2,16.3554247,48.2101044
Rathaus,Coordinates Average,16.35546415,48.2104253
,,,
Rochusgasse,Coordinates 1,16.3922161,48.2020584
Rochusgasse,Coordinates 2,16.3923044,48.202132
Rochusgasse,Coordinates Average,16.39226025,48.2020952
,,,
Schoenbrunn,Coordinates 1,16.3190433,48.1860338
Schoenbrunn,Coordinates 2,16.3190282,48.1860085
Schoenbrunn,Coordinates Average,16.31903575,48.18602115
,,,
Schlachthausgasse,Coordinates 1,16.4066927,48.194373
Schlachthausgasse,Coordinates 2,16.4067773,48.194462
Schlachthausgasse,Coordinates Average,16.406735,48.1944175
,,,
Schottentor,Coordinates 1,16.362879,48.2150839
Schottentor,Coordinates 2,16.3629616,48.2150088
Schottentor,Coordinates Average,16.3629203,48.21504635
,,,
Schweglerstrasse,Coordinates 1,16.3285003,48.1978969
Schweglerstrasse,Coordinates 2,16.328724,48.1974991
Schweglerstrasse,Coordinates Average,16.32861215,48.197698
,,,
Siebenhirten,Coordinates 1,16.3098619,48.1305012
Siebenhirten,Coordinates 2,16.3098058,48.1305036
Siebenhirten,Coordinates Average,16.30983385,48.1305024
,,,
Simmering,Coordinates 1,16.4204633,48.169739
Simmering,Coordinates 2,16.4206007,48.169817
Simmering,Coordinates Average,16.420532,48.169778
,,,
Stubentor,Coordinates 1,16.3792336,48.2069739
Stubentor,Coordinates 2,16.379187,48.2068913
Stubentor,Coordinates Average,16.3792103,48.2069326
,,,
Tschwerttegasse,Coordinates 1,16.3277803,48.1649913
