Start,Stop,Line_ID,Color_ID,geometry
Oberlaa,Neulaa,U1,red,"LINESTRING(16.39984 48.13771,16.38561 48.14577)"
Neulaa,Alaudagasse,U1,red,"LINESTRING(16.38561 48.14577,16.38236 48.1537)"
Alaudagasse,Altes Landgut,U1,red,"LINESTRING(16.38236 48.1537,16.38323 48.16229)"
Altes Landgut,Troststrasse,U1,red,"LINESTRING(16.38323 48.16229,16.38027 48.16902)"
Troststrasse,Reumannplatz,U1,red,"LINESTRING(16.38027 48.16902,16.37788958 48.17501508)"
Reumannplatz,Keplerplatz,U1,red,"LINESTRING(16.37788958 48.17501508,16.37619975 48.17919256)"
Keplerplatz,Suedtiroler Platz - Hauptbahnhof,U1,red,"LINESTRING(16.37619975 48.17919256,16.37366139 48.18663655)"
Suedtiroler Platz - Hauptbahnhof,Taubstummengasse,U1,red,"LINESTRING(16.37366139 48.18663655,16.37032861 48.19390572)"
Taubstummengasse,Karlsplatz,U1,red,"LINESTRING(16.37032861 48.19390572,16.36966 48.20039)"
Karlsplatz,Stephansplatz,U1,red,"LINESTRING(16.36966 48.20039,16.37152 48.20808)"
Stephansplatz,Schwedenplatz,U1,red,"LINESTRING(16.37152 48.20808,16.37765 48.21179)"
Schwedenplatz,Nestroyplatz,U1,red,"LINESTRING(16.37765 48.21179,16.38553525 48.21530985)"
Nestroyplatz,Praterstern,U1,red,"LINESTRING(16.38553525 48.21530985,16.39211 48.21912)"
Praterstern,Vorgartenstrasse,U1,red,"LINESTRING(16.39211 48.21912,16.40107902 48.22365655)"
Vorgartenstrasse,Donauinsel,U1,red,"LINESTRING(16.40107902 48.22365655,16.41141506 48.22921775)"
Donauinsel,Kaisermuehlen/VIC,U1,red,"LINESTRING(16.41141506 48.22921775,16.4164825 48.23285364)"
Kaisermuehlen/VIC,Alte Donau,U1,red,"LINESTRING(16.4164825 48.23285364,16.42473449 48.23285364)"
Alte Donau,Kagran,U1,red,"LINESTRING(16.42473449 48.23285364,16.43298779 48.24303963)"
Kagran,Kagraner Platz,U1,red,"LINESTRING(16.43298779 48.24303963,16.44351295 48.25053356)"
Kagraner Platz,Rennbahnweg,U1,red,"LINESTRING(16.44351295 48.25053356,16.44969836 48.25767922)"
Rennbahnweg,Aderklaaer strasse,U1,red,"LINESTRING(16.44969836 48.25767922,16.45162403 48.26345912)"
Aderklaaer strasse,Grossfeldsiedlung,U1,red,"LINESTRING(16.45162403 48.26345912,16.44793874 48.27092192)"
Grossfeldsiedlung,Leopoldau,U1,red,"LINESTRING(16.44793874 48.27092192,16.45248168 48.27757827)"
Leopoldau,Grossfeldsiedlung,U1,red,"LINESTRING(16.45248168 48.27757827,16.44793874 48.27092192)"
Grossfeldsiedlung,Aderklaaer strasse,U1,red,"LINESTRING(16.44793874 48.27092192,16.45162403 48.26345912)"
Aderklaaer strasse,Rennbahnweg,U1,red,"LINESTRING(16.45162403 48.26345912,16.44969836 48.25767922)"
Rennbahnweg,Kagraner Platz,U1,red,"LINESTRING(16.44969836 48.25767922,16.44351295 48.25053356)"
Kagraner Platz,Kagran,U1,red,"LINESTRING(16.44351295 48.25053356,16.43298779 48.24303963)"
Kagran,Alte Donau,U1,red,"LINESTRING(16.43298779 48.24303963,16.42473449 48.23285364)"
Alte Donau,Kaisermuehlen/VIC,U1,red,"LINESTRING(16.42473449 48.23285364,16.4164825 48.23285364)"
Kaisermuehlen/VIC,Donauinsel,U1,red,"LINESTRING(16.4164825 48.23285364,16.41141506 48.22921775)"
Donauinsel,Vorgartenstrasse,U1,red,"LINESTRING(16.41141506 48.22921775,16.40107902 48.22365655)"
Vorgartenstrasse,Praterstern,U1,red,"LINESTRING(16.40107902 48.22365655,16.39211 48.21912)"
Praterstern,Nestroyplatz,U1,red,"LINESTRING(16.39211 48.21912,16.38553525 48.21530985)"
Nestroyplatz,Schwedenplatz,U1,red,"LINESTRING(16.38553525 48.21530985,16.37765 48.21179)"
Schwedenplatz,Stephansplatz,U1,red,"LINESTRING(16.37765 48.21179,16.37152 48.20808)"
Stephansplatz,Karlsplatz,U1,red,"LINESTRING(16.37152 48.20808,16.36966 48.20039)"
Karlsplatz,Taubstummengasse,U1,red,"LINESTRING(16.36966 48.20039,16.37032861 48.19390572)"
